10000000 256 600 35 123
Iteration 1, GPU_gaussian: 0.221177, CPU_gaussian: 1.773195, GPU_box: 0.025678, CPU_box: 1.732423
Iteration 2, GPU_gaussian: 0.015354, CPU_gaussian: 3.439234, GPU_box: 0.015319, CPU_box: 3.407793
Iteration 3, GPU_gaussian: 0.016436, CPU_gaussian: 4.985320, GPU_box: 0.016397, CPU_box: 4.978460
Iteration 4, GPU_gaussian: 0.017434, CPU_gaussian: 6.662199, GPU_box: 0.017424, CPU_box: 6.676830
Iteration 5, GPU_gaussian: 0.018474, CPU_gaussian: 8.309178, GPU_box: 0.018447, CPU_box: 8.293896
Iteration 6, GPU_gaussian: 0.019544, CPU_gaussian: 9.936051, GPU_box: 0.019473, CPU_box: 9.926531
Iteration 7, GPU_gaussian: 0.020531, CPU_gaussian: 11.555961, GPU_box: 0.020560, CPU_box: 11.572873
Iteration 8, GPU_gaussian: 0.021561, CPU_gaussian: 13.225870, GPU_box: 0.021548, CPU_box: 13.215698
Iteration 9, GPU_gaussian: 0.022612, CPU_gaussian: 14.833378, GPU_box: 0.022592, CPU_box: 14.843539
Iteration 10, GPU_gaussian: 0.023642, CPU_gaussian: 16.497718, GPU_box: 0.028171, CPU_box: 16.507750
Iteration 11, GPU_gaussian: 0.030013, CPU_gaussian: 18.132650, GPU_box: 0.033220, CPU_box: 18.138418
Iteration 12, GPU_gaussian: 0.036994, CPU_gaussian: 19.772742, GPU_box: 0.035847, CPU_box: 19.771781
Iteration 13, GPU_gaussian: 0.037876, CPU_gaussian: 21.402770, GPU_box: 0.034915, CPU_box: 21.398117
Iteration 14, GPU_gaussian: 0.038238, CPU_gaussian: 23.023910, GPU_box: 0.041647, CPU_box: 23.038210
Iteration 15, GPU_gaussian: 0.039463, CPU_gaussian: 24.679091, GPU_box: 0.045670, CPU_box: 24.671017
Iteration 16, GPU_gaussian: 0.042556, CPU_gaussian: 26.305465, GPU_box: 0.037919, CPU_box: 26.311035
Iteration 17, GPU_gaussian: 0.042463, CPU_gaussian: 27.945655, GPU_box: 0.038480, CPU_box: 27.953021
Iteration 18, GPU_gaussian: 0.045053, CPU_gaussian: 29.578921, GPU_box: 0.040772, CPU_box: 29.577209
Iteration 19, GPU_gaussian: 0.043813, CPU_gaussian: 31.273012, GPU_box: 0.042344, CPU_box: 31.256725
Iteration 20, GPU_gaussian: 0.042542, CPU_gaussian: 32.873291, GPU_box: 0.053214, CPU_box: 32.855973
Iteration 21, GPU_gaussian: 0.045904, CPU_gaussian: 34.494515, GPU_box: 0.051962, CPU_box: 34.492870
Iteration 22, GPU_gaussian: 0.045500, CPU_gaussian: 36.137188, GPU_box: 0.046181, CPU_box: 36.130457
Iteration 23, GPU_gaussian: 0.045595, CPU_gaussian: 37.757950, GPU_box: 0.053982, CPU_box: 37.758781
Iteration 24, GPU_gaussian: 0.050008, CPU_gaussian: 39.406127, GPU_box: 0.047583, CPU_box: 39.435899
Iteration 25, GPU_gaussian: 0.052253, CPU_gaussian: 41.059645, GPU_box: 0.049826, CPU_box: 41.081799
Iteration 26, GPU_gaussian: 0.048757, CPU_gaussian: 42.671717, GPU_box: 0.048657, CPU_box: 42.723870
Iteration 27, GPU_gaussian: 0.054106, CPU_gaussian: 44.333793, GPU_box: 0.049797, CPU_box: 44.364100
Iteration 28, GPU_gaussian: 0.051638, CPU_gaussian: 45.966762, GPU_box: 0.056081, CPU_box: 45.915086
Iteration 29, GPU_gaussian: 0.052016, CPU_gaussian: 47.584120, GPU_box: 0.060276, CPU_box: 47.641037
Iteration 30, GPU_gaussian: 0.060723, CPU_gaussian: 49.237663, GPU_box: 0.058596, CPU_box: 49.232575
